Pełna nazwa;Marka;Model;Link;Liczba drzwi;Liczba miejsc;Średnica zawracania;Promień skrętu;Długość;Szerokość;Szerokość z lusterkami bocznymi;Wysokość;Rozstaw osi;Rozstaw kół - przód;Rozstaw kół - tył;Zwis przedni;Zwis tylny;Prześwit;Długość z hakiem holowniczym;Szerokość ze złożonymi lusterkami bocznymi;Szerokość przy otwartych drzwiach z przodu;Szerokość przy otwartych drzwiach z tyłu;Wysokość z relingami dachowymi;Wysokość z anteną;Wysokość przy otwartej klapie bagażnika;Wysokość przy otwartej pokrywie silnika;Prześwit 4x4;Odległość oparcia fotela przedniego od kierownicy;Długość kolumny kierownicy;Odległość oparcia przedniego od komory silnika;Odległość od siedziska przedniego do dachu;Wysokość siedziska przedniego;Długość siedziska przedniego;Wysokość oparcia przedniego;Odległość pomiędzy siedzeniami przednimi i tylnymi;Odległość od siedziska tylnego do dachu;Odległość od podłogi do siedziska tylnego;Długość siedziska tylnego;Wysokość oparcia tylnego;Szerokość nad podłokietnikami z przodu;Szerokość nad podłokietnikami z tyłu;Szerokość na wysokości podłokietników z przodu;Szerokość na wysokości podłokietników z tyłu;Przestrzeń wsiadania z przodu - szerokość;Przestrzeń wsiadania z przodu - wysokość;Przestrzeń wsiadania z tyłu - szerokość;Przestrzeń wsiadania z tyłu - wysokość;Zakres przesuwania foteli przednich;Całkowita długość wnętrza kabiny;Całkowita szerokość wnętrza kabiny;Całkowita wysokość wnętrza kabiny;Maksymalna pojemność bagażnika (siedzenia złożone);Minimalna pojemność bagażnika (siedzenia rozłożone);Szerokość pomiędzy nadkolami;Wysokość bagażnika;Szerokość bagażnika;Długość do oparcia tylnej kanapy;Długość ze złożoną tylną kanapą;Wysokość progu załadowczego;Kąt natarcia;Kąt rampowy;Kąt zejścia;Kąt przechyłu bocznego;Możliwość podjazdu;Głębokość brodzenia;Maksymalna ładowność;Dopuszczalne obciążenie dachu;Powierzchnia „przejrzysta” przedniej szyby;Całkowita powierzchnia „przejrzysta” szyb;Produkowany;Pojemność skokowa;Typ silnika;Moc silnika;Maksymalny moment obrotowy;Moc silnika (spalinowy);Maksymalny moment obrotowy (spalinowy);Moc silnika (elektryczny);Maksymalny moment obrotowy (elektryczny);Montaż silnika;Doładowanie;Umiejscowienie wałka rozrządu;Liczba cylindrów;Układ cylindrów;Liczba zaworów;Stopień sprężania;Zapłon;Typ wtrysku;Liczba silników;Średnica cylindra × skok tłoka;Układ paliwowy;Dodatkowe informacje;Rodzaj układu kierowniczego;Opony podstawowe;Opony opcjonalne;Felgi podstawowe;Felgi opcjonalne;Rozstaw śrub;Rodzaj hamulców (przód);Rodzaj hamulców (tył);Hamowanie (100 do 0km/h) z ABS;Typ układu hamulcowego;Grubość tarcz hamulcowych (przód);Grubość tarcz hamulcowych (tył);Średnica tarcz hamulcowych (przód);Średnica tarcz hamulcowych (tył);Rodzaj zawieszenia (przód);Rodzaj zawieszenia  (tył);Amortyzatory;Rodzaj skrzyni;Nazwa skrzyni;Liczba stopni;Rodzaj napędu;Rodzaj sprzęgła;Prędkość maksymalna;Przyspieszenie (od 0 do 100km/h);400 metrów ze startu zatrzymanego;1000 metrów ze startu zatrzymanego;Średnie spalanie (cykl mieszany);Spalanie na trasie (na autostradzie);Spalanie w mieście;Pojemność akumulatora brutto;Typ ładowarki;Chłodzenie akumulatora;Pojemność akumulatora netto;Metodologia pomiaru zasięgu;Zużycie energii;Maksymalny zasięg przy oszczędnej jeździe na długiej trasie;Średni maksymalny zasięg;Średni minimalny zasięg;Maksymalna moc ładowania DC;Maksymalna moc ładowania AC;Stacja szybkiego ładowania;Gniazdko 3F/Stacja AC;Gniazdko 1F;Pojemność zbiornika paliwa;Zasięg (cykl mieszany);Zasięg (autostrada);Zasięg (miasto);Emisja CO₂;Norma emisji spalin;Minimalna masa własna pojazdu (bez obciążenia);Maksymalna masa całkowita pojazdu (w pełni obciążonego);Maksymalna masa przyczepy z hamulcami;Maksymalna masa przyczepy bez hamulców;Maksymalny nacisk na hak;Pojemność akumulatora;Pojemność akumulatora w wersji z klimatyzacja;System start&stop;Kod silnika
Audi E Tron Sportback S 95 Kwh 503hp Quattro;Audi;e-tron;https://www.auto-data.net/pl/audi-e-tron-sportback-s-95-kwh-503hp-quattro-45201;5;5;brak danych;12.2 m;4902 mm;1976 mm;2189 mm;1615 mm;2928 mm;1683 mm;1683 mm;928 mm;1046 mm;172 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;172 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1665 l;615 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;15.4°;13.8°;20°;brak danych;brak danych;300 mm;brak danych;75 kg;brak danych;brak danych;od 2020 r do 2022 r;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;309 Nm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;285/45 R20;285/40 R21;10J x 20;10.5J x 21;brak danych;Tarczowe wentylowane, 400 mm;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, stabilizator poprzeczny , Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne, stabilizator poprzeczny;brak danych;automatyczna;brak danych;1 biegów;4x4;brak danych;210 km/h;4.5 s;brak danych;brak danych;brak danych;brak danych;brak danych;95 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2620 kg;625 kg;brak danych;750 kg;1800 kg;95 kWh;brak danych;brak danych;brak danych
Audi E Tron Sportback 55 95 Kwh 408hp Quattro;Audi;e-tron;https://www.auto-data.net/pl/audi-e-tron-sportback-55-95-kwh-408hp-quattro-38071;5;5;brak danych;12.2 m;4901 mm;1935 mm;2189 mm;1616 mm;2928 mm;1655 mm;1655 mm;928 mm;1045 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1665 l;615 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;15.3°;brak danych;21.5°;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2020 r do 2022 r;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;355 Nm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;255/55 R19;255/50 R20;8.5J x 19;9J x 20;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, stabilizator poprzeczny , Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne, stabilizator poprzeczny;brak danych;automatyczna;brak danych;1 biegów;4x4;brak danych;200 km/h;5.7 s;brak danych;brak danych;brak danych;brak danych;brak danych;95 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2520 kg;650 kg;brak danych;750 kg;1800 kg;95 kWh;brak danych;brak danych;brak danych
Audi E Tron Sportback 50 71 Kwh 313hp Quattro;Audi;e-tron;https://www.auto-data.net/pl/audi-e-tron-sportback-50-71-kwh-313hp-quattro-38072;5;5;brak danych;12.2 m;4901 mm;1935 mm;2189 mm;1616 mm;2928 mm;1655 mm;1655 mm;928 mm;1045 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1665 l;615 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;15.3°;brak danych;21.5°;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2020 r do 2022 r;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;255/55 R19;255/50 R20;8.5J x 19;9J x 20;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, stabilizator poprzeczny , Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne, stabilizator poprzeczny;brak danych;automatyczna;brak danych;1 biegów;4x4;brak danych;190 km/h;6.8 s;brak danych;brak danych;brak danych;brak danych;brak danych;71 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2370 kg;670 kg;brak danych;750 kg;1800 kg;71 kWh;brak danych;brak danych;brak danych
Audi E Tron S 95 Kwh 503hp Quattro;Audi;e-tron;https://www.auto-data.net/pl/audi-e-tron-s-95-kwh-503hp-quattro-45200;5;5;brak danych;12.2 m;4902 mm;1976 mm;2189 mm;1629 mm;2928 mm;1683 mm;1683 mm;928 mm;1046 mm;172 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;172 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1725 l;660 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;15.4°;13.8°;20°;brak danych;brak danych;300 mm;brak danych;75 kg;brak danych;brak danych;od 2020 r do 2022 r;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;309 Nm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;285/45 R20;285/40 R21;10J x 20;10.5J x 21;brak danych;Tarczowe wentylowane, 400 mm;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, stabilizator poprzeczny , Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne, stabilizator poprzeczny;brak danych;automatyczna;brak danych;1 biegów;4x4;brak danych;210 km/h;4.5 s;brak danych;brak danych;brak danych;brak danych;brak danych;95 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2620 kg;625 kg;brak danych;750 kg;1800 kg;95 kWh;brak danych;brak danych;brak danych
Audi E Tron 55 95 Kwh 408hp Quattro;Audi;e-tron;https://www.auto-data.net/pl/audi-e-tron-55-95-kwh-408hp-quattro-45318;5;5;brak danych;12.2 m;4901 mm;1935 mm;2189 mm;1629 mm;2928 mm;1655 mm;1655 mm;928 mm;1045 mm;172 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;172 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1725 l;660 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;15.3°;13.8°;21.5°;brak danych;brak danych;300 mm;brak danych;75 kg;brak danych;brak danych;od 2019 r do 2022 r;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;309 Nm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;255/55 R19;255/50 R20;8.5J x 19;9J x 20;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, stabilizator poprzeczny , Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne, stabilizator poprzeczny;brak danych;automatyczna;brak danych;1 biegów;4x4;brak danych;200 km/h;5.7 s;brak danych;brak danych;brak danych;brak danych;brak danych;95 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2520 kg;650 kg;brak danych;750 kg;1800 kg;95 kWh;brak danych;brak danych;brak danych
Audi E Tron 50 71 Kwh 313hp Quattro;Audi;e-tron;https://www.auto-data.net/pl/audi-e-tron-50-71-kwh-313hp-quattro-45317;5;5;brak danych;12.2 m;4901 mm;1935 mm;2192 mm;1632 mm;2928 mm;1655 mm;1652 mm;928 mm;1045 mm;172 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;172 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1725 l;660 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;15.3°;13.8°;21.5°;brak danych;brak danych;300 mm;brak danych;75 kg;brak danych;brak danych;od 2019 r do 2022 r;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;255/55 R19;255/50 R20;8.5J x 19;9J x 20;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, stabilizator poprzeczny , Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne, stabilizator poprzeczny;brak danych;automatyczna;brak danych;1 biegów;4x4;brak danych;190 km/h;6.8 s;brak danych;brak danych;brak danych;brak danych;brak danych;71 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2370 kg;670 kg;brak danych;750 kg;1800 kg;71 kWh;brak danych;brak danych;brak danych
Audi E Tron Gt 93.4 Kwh 530hp Quattro;Audi;e-tron GT;https://www.auto-data.net/pl/audi-e-tron-gt-93.4-kwh-530hp-quattro-42206;4;4;brak danych;11.6 m;4989 mm;1964 mm;2158 mm;1396 mm;2898 mm;1710 mm;1694 mm;1021 mm;1070 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;405 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;13°;brak danych;16.4°;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2021 r do 2024 r;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;225/55 R19;245/45 R20;8J x 19;9J x 20;brak danych;Tarczowe wentylowane, 360-420 mm;Tarczowe wentylowane , 358-410 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;podwójny wahacz poprzeczny , Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;brak danych;automatyczna;brak danych;2 biegów;4x4;brak danych;245 km/h;4.1 s;brak danych;brak danych;brak danych;brak danych;brak danych;93.4 kWh;brak danych;brak danych;brak danych;brak danych;18.8 kWh/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2276 kg;564 kg;brak danych;brak danych;brak danych;93.4 kWh;brak danych;brak danych;brak danych
Audi Q2 Facelift 2020 30 Tfsi 110hp;Audi;Q2;https://www.auto-data.net/pl/audi-q2-facelift-2020-30-tfsi-110hp-41846;5;5;brak danych;11.1 m;4208 mm;1794 mm;2009 mm;1537 mm;2601 mm;1546 mm;1542 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1050 l;405 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 kg;brak danych;brak danych;od 2020 r do 2024 r;brak danych;brak danych;brak danych;200 Nm przy 2000 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;3;brak danych;4;11.5:1;brak danych;Wtrysk bezpośredni;brak danych;74.5 mm;brak danych;brak danych;Przekładnia zębatkowa;205/60 R16;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;półniezależne zawieszenie sprężynowe;brak danych;;brak danych;6 biegów;na przednią oś;brak danych;197 km/h;11.2 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;50 l;brak danych;brak danych;brak danych;brak danych;Euro 6d-ISC-FCM;1250 kg;565 kg;brak danych;660 kg;1300 kg;brak danych;brak danych;brak danych;DLAA
Audi Q2 40 Tfsi 190hp Quattro S Tronic;Audi;Q2;https://www.auto-data.net/pl/audi-q2-40-tfsi-190hp-quattro-s-tronic-35837;5;5;brak danych;11.1 m;4191 mm;1794 mm;2009 mm;1508 mm;2595 mm;1547 mm;1548 mm;828 mm;768 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1000 l;355 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;320 Nm przy 1500 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;DOHC;4;brak danych;4;11.65:1;brak danych;Wtrysk bezpośredni i Wtrysk wielopunktowy;brak danych;82.5 mm;brak danych;brak danych;Przekładnia zębatkowa;205/60 R16;215/60 R16;6J x 16;6.5J x 16;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne, typu McPherson ze sprężyną śrubową i drążkiem stabilizującym;Niezależne wielowahaczowe zawieszenie sprężynowe ze stabilizatorem;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;228 km/h;6.5 s;brak danych;brak danych;6.7 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;55 l;brak danych;brak danych;brak danych;146 g/km;Euro 6d-TEMP-EVAP;1430 kg;615 kg;brak danych;750 kg;1500 kg;brak danych;brak danych;brak danych;EA888DKZA
Audi Q2 35 Tfsi 150hp S Tronic;Audi;Q2;https://www.auto-data.net/pl/audi-q2-35-tfsi-150hp-s-tronic-35048;5;5;brak danych;11.1 m;4191 mm;1794 mm;2009 mm;1508 mm;2601 mm;1547 mm;1541 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1050 l;405 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;250 Nm przy 1500 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Wtrysk bezpośredni;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;brak danych;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;skręt;brak danych;automatyczna;brak danych;7 biegów;na przednią oś;brak danych;212 km/h;8.5 s;brak danych;brak danych;5.7 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;50 l;brak danych;brak danych;brak danych;119 g/km;Euro 6d - TEMP;1290 kg;590 kg;brak danych;680 kg;1500 kg;brak danych;brak danych;brak danych;EA211evoDADA,DPCA
Audi Q2 35 Tfsi 150hp;Audi;Q2;https://www.auto-data.net/pl/audi-q2-35-tfsi-150hp-35047;5;5;brak danych;11.1 m;4191 mm;1794 mm;2009 mm;1508 mm;2601 mm;1547 mm;1541 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1050 l;405 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;250 Nm przy 1500 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Wtrysk bezpośredni;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;brak danych;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;skręt;brak danych;;brak danych;6 biegów;na przednią oś;brak danych;212 km/h;8.5 s;brak danych;brak danych;5.9 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;50 l;brak danych;brak danych;brak danych;126 g/km;Euro 6d - TEMP;1265 kg;595 kg;brak danych;670 kg;1500 kg;brak danych;brak danych;brak danych;EA211evoDADA,DPCA
Audi Q2 35 Tdi 150hp S Tronic;Audi;Q2;https://www.auto-data.net/pl/audi-q2-35-tdi-150hp-s-tronic-35839;5;5;brak danych;brak danych;4191 mm;1794 mm;2009 mm;1508 mm;2601 mm;1547 mm;1541 mm;828 mm;762 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;405 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;340 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Diesel common rail;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;205/60 R16;215/60 R16;6J x 16;6.5J x 16;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;niezależne typu McPherson;skręt;brak danych;automatyczna;brak danych;7 biegów;na przednią oś;brak danych;211 km/h;8.5 s;brak danych;brak danych;4.7 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;50 l;brak danych;brak danych;brak danych;115 g/km;Euro 6d-Temp;1390 kg;590 kg;brak danych;730 kg;1600 kg;brak danych;brak danych;brak danych;DFGA
Audi Q2 35 Tdi 150hp Quattro S Tronic;Audi;Q2;https://www.auto-data.net/pl/audi-q2-35-tdi-150hp-quattro-s-tronic-35840;5;5;brak danych;brak danych;4191 mm;1794 mm;2009 mm;1508 mm;2601 mm;1547 mm;1541 mm;828 mm;762 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;355 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;60 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;340 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Diesel common rail;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;205/60 R16;215/60 R16;6J x 16;6.5J x 16;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne, typu McPherson ze sprężyną śrubową i drążkiem stabilizującym;Niezależne wielowahaczowe zawieszenie sprężynowe ze stabilizatorem;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;211 km/h;8.1 s;brak danych;brak danych;5.3 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;55 l;brak danych;brak danych;brak danych;133 g/km;Euro 6d-Temp;1475 kg;595 kg;brak danych;750 kg;1700 kg;brak danych;brak danych;brak danych;DFGA
